1	Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud)
2	Métro Mont-Royal (Utilités publiques / Rivard)
3	Notre-Dame / St-Martin
4	de Maisonneuve / Greene
5	Métro Sherbrooke (de Rigaud / Berri)
6	de la Côte-Ste-Catherine / Davaar
7	du Parc-La Fontaine / Rachel
8	de l'Hôtel-de-Ville / Roy
9	Square Viger (Berri / Viger)
10	HEC (Decelles / Jean-Brillant)
11	Victoria / de Maisonneuve
12	St-Dominique / Rachel
13	Roy / Saint-Laurent
14	Christophe-Colomb / Beaubien
15	de l'Hôtel-de-Ville / Rachel
16	Mozart / St-Laurent
17	Boyer / Rosemont
18	de Maisonneuve / Mansfield (sud-est)
19	12e avenue / St-Zotique
20	U. Concordia - Campus Loyola (Sherbrooke / West Broadway)
21	du Séminaire / de la Montagne
22	St-André /  Cherrier
23	de la Côte St-Paul / St-Ambroise
24	Hickson / Wellington
25	de la Côte-Ste-Catherine / Decelles
26	Drolet / Beaubien
27	Marie-Anne / Papineau
28	Métro Lucien-L'Allier (Lucien l'Allier / Argyle)
29	Boyer / du Mont-Royal
30	Metcalfe / de Maisonneuve (sud)
31	Ste-Famille / Shebrooke
32	St-Urbain / de la Gauchetière
33	Rousselot / Jarry
34	McKenna / Édouard-Montpetit
35	Bernard / Jeanne-Mance
36	Montcalm / Ontario
37	Smith / Peel
38	IUSMM (Georges-Villeneuve)
39	de la Commune / Nazareth
40	de Châteaubriand / Beaubien
41	des Érables / Laurier
42	Waverly / St-Viateur
43	des Prairies / du Pacifique
44	CHU Ste-Justine (de la Côte Ste-Catherine / Hudson)
45	Gilford / Papineau
46	de Chateaubriand / Jarry
47	Molson / William-Tremblay
48	Marquette / du Mont-Royal
49	Peel / Notre-Dame
50	des Ormeaux / Mathieu
51	Ste-Catherine / St-Clément
52	de St-Vallier / Rosemont
53	du Parc-La Fontaine / Duluth
54	Métro Jarry (Lajeunesse / Jarry)
55	Duvernay / Charlevoix
56	Wilderton  / Van Horne
57	Métro Atwater (Atwater / Ste-Catherine)
58	Jeanne-Mance / Sherbrooke
59	Léa-Roback / Sir-Georges-Etienne-Cartier
60	Garnier / du Mont-Royal
61	Plessis / Ontario
