150	de St-Vallier / St-Zotique
151	Marquette / du Mont-Royal
152	Pontiac / Gilford
153	Messier / du Mont-Royal
154	Regina / de Verdun
155	Bernard / Jeanne-Mance
156	Prince-Arthur / St-Urbain
157	Milton / University
158	Roy / St-Denis
159	de Soissons / de Darlington
160	Édouard-Montpetit / de Stirling
161	Ste-Catherine / St-Mathieu
162	St-Antoine / St-François-Xavier
163	Gauthier / de Lorimier
164	Argyle / de Verdun
165	Laforest / Dudemaine
166	Square St-Louis (du Square St-Louis / Laval)
167	Monk / de Biencourt
168	Métro Jolicoeur (de Sève / Drake)
169	McLynn / Plamondon
170	Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges)
171	du Marché Central / Crémazie
172	Duluth / de l'Esplanade
173	de Léry / Sherbrooke
174	Pratt / Bates
175	de Kent / de la Côte-des-Neiges
176	Joseph-Manseau / René-Levesque
177	Clark / St-Viateur
178	André-Laurendeau / Rachel
179	de Gaspé / Fairmount
180	St-Laurent / Pl. du Marché
181	Ryde / Charlevoix
182	Durocher / Beaumont
183	Boyer / St-Zotique
184	Cartier / Dandurand
185	Parc Joseph-Robin (18e avenue / Everett)
186	Clark / Prince-Arthur
187	Casgrain / Maguire
188	Marie-Anne / St-Hubert
189	Marché Jean-Talon (Henri-Julien / Jean-Talon)
190	Clark / Fleury
191	St-Cyril / Wiseman
192	Métro Rosemont (de St-Vallier / Rosemont)
193	Métro Beaudry (Beaudry / Ste-Catherine)
194	Letourneux / Hochelaga
195	St-Dominique / Rachel
196	Milton / Durocher
197	Chambord / Beaubien
198	Jeanne-Mance / Laurier
199	St-Alexandre / Ste-Catherine
200	Ste-Catherine / St-Laurent
201	Parc Kent (de Kent / Hudson)
202	Querbes / Laurier
203	St-Dominique / St-Zotique
204	St-Zotique / Clark
205	Alexandre-DeSève / Ste-Catherine
206	Villeneuve / St-Dominique
207	Alexandre-DeSève / Ontario
208	Dollard / Van Horne
209	de L'Esplanade  / Fairmount
210	Chambord / Gilford
211	Montcalm / de Maisonneuve
212	de l'Hotel-de-Ville / Ontario
213	Aylmer / Prince-Arthur
214	Union / Ste-Catherine
215	des Pins / Hutchison
216	William / St-Henri
217	Marquette / Laurier
218	Boyer / du Mont-Royal
219	Place des Festivals (du Président-Kennedy / de Bleury)
220	St-André / Cherrier
221	Parc du Pélican (1ere Ave / Masson)
222	du Parc-La Fontaine / Duluth
223	de Lanaudière / Laurier
224	Peel / Ottawa
225	29e avenue / St-Zotique
226	de Gaspé / St-Viateur
227	Guy / Notre-Dame
228	Coloniale / Duluth
229	de Maisonneuve / Wood
230	St-Timothée / Robin
231	Crescent / René-Lévesque
232	Du Quesne / de Marseille
233	des Ormeaux / de Grosbois
234	Waverly / Bernard
235	St-Dominique / Laurier
236	St-Marc / Sherbrooke
237	Parthenais / du Mont-Royal
238	de Mentana / Marie-Anne
239	St-Dominique / Napoléon
240	Stanley / Sherbrooke
241	Montcalm / Ontario
242	St-Antoine / de la Montagne
243	Richardson / Montmorency
244	IUSMM (Georges-Villeneuve)
245	St-Hubert / Duluth
246	des Récollets / McGill
247	Vallières / St-Laurent
248	McGill / Wellington
249	Prince-Arthur / du Parc
250	Aylmer / Sherbrooke
251	de l'Hôtel-de-Ville / Roy
252	Parc Lalancette (de Rouen / Valois)
253	Fullum / de Rouen
254	du Havre / de Rouen
255	Métro Radisson (Sherbrooke / des Groseilliers)
256	Hochelaga / de l'Assomption
257	Atateken / du Square Amherst
258	Viger / Chenneville
259	Labadie / du Parc
260	Bourgeoys / Favard
261	de l'Hôtel-de-Ville / Sherbrooke
262	St-Hubert / René-Levesque
263	de la Porte de Québec / St-André
264	Sherbrooke / Frontenac
265	Louis-Hébert / de Bellechasse
266	de Lanaudière / Marie-Anne
267	Métro Université de Montréal (Édouard-Montpetit / Louis-Collin)
268	Boyer / Beaubien
269	Hutchison / Prince-Arthur
270	Holt / Fullum
271	Métro Lasalle (de Rushbrooke / Caisse)
272	Hickson / Wellington
273	Gilford / des Érables
274	St-Hubert / Laurier
275	Jeanne-Mance / St-Viateur
276	Parc de la Confédération (Fielding / West Hill)
277	Benny / Sherbrooke
278	Jeanne-d'Arc / Ontario
279	St-Jacques / St-Laurent
280	Crescent / de Maisonneuve
281	Guy / Sainte-Catherine
282	Durocher / Sherbrooke
283	Lacombe / Victoria
284	Métro Vendôme (de Marlowe / de Maisonneuve)
285	Parc Georges St-Pierre (Oxford / Upper Lachine)
286	de Lanaudière / du Mont-Royal
287	St-Patrick / Briand
288	Drolet / Marie-Anne
289	Fullum / Ste-Catherine
290	Parc Garibaldi (Liénart / Bélanger)
291	Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance)
292	de Bordeaux / Gilford
293	de Bullion / du Mont-Royal
294	St-Nicolas / Place d'Youville
295	Gloria / Dollard
296	Lapierre / Serge
297	Chomedey / de Maisonneuve
298	Chabot / Beaubien
299	Léa-Roback / Sir-Georges-Etienne-Cartier
300	Parc Maisonneuve (Viau / Sherbrooke)
301	Hélène-Baillargeon / St-Denis
302	Aylmer / Ste-Catherine
303	Cartier / Bélanger
304	Métro Jean-Talon (Berri / Jean-Talon)
305	de l'Esplanade / Villeneuve
306	Mackay / Ste-Catherine
307	Pierre-de-Coubertin / Langelier
308	Milton / du Parc
309	St-Dominique / St-Viateur
310	Fullum / Ontario
311	12e avenue / St-Zotique
312	Monsabré / Boileau
313	St-Denis / Ste-Catherine
314	Hamilton / Jolicoeur
315	Métro Monk (Allard / Beaulieu)
316	2e avenue / Centrale
317	5e avenue / Bannantyne
318	Métro Villa-Maria (de Monkland / Décarie)
319	de l'Église / Bannantyne
320	3e avenue / Wellington
321	Métro Angrignon (Lamont / des Trinitaires)
322	Jogues / Allard
323	Rivard / Mont-Royal
324	Clark / Rachel
325	Wolfe / Robin
326	Fortune / Wellington
327	Métro Verdun (Willibrord/ de Verdun)
328	Beatty / de Verdun
329	Tupper / du Fort
330	St-André / Ontario
331	Villeneuve / du Parc
332	Gauthier / Parthenais
333	Shearer / Centre
334	de Bellechasse / de St-Vallier
335	Boyer / Jean-Talon
336	Parc Luigi-Pirandello (de Bretagne / Jean-Rivard)
337	des Érables / Laurier
338	St-Dominique / du Mont-Royal
339	du Champ-de-Mars / Gosford
340	Cégep André-Laurendeau (Lapierre)
341	Stinson / Montpellier
342	Jeanne-Mance / Beaubien
343	Clark / Laurier
344	St-André / Ste-Catherine
345	Métro Bonaventure (de la Gauchetière / de la Cathédrale)
346	Hutchison / Van Horne
347	Chapleau / du Mont-Royal
348	Duluth  / St-Denis
349	27e avenue / Rosemont
350	Boyer / Rosemont
351	Cartier / Gilford
352	Parc des Rapides (LaSalle / 6e avenue)
353	HEC (Decelles / Jean-Brillant)
354	Parc LaSalle (10e avenue / Victoria)
355	Henri-Julien / Laurier
356	Garnier / St-Grégoire
357	Gilford / St-Denis
358	Murray / Wellington
359	CHU Ste-Justine (de la Côte Ste-Catherine / Hudson)
360	Wilderton  / Van Horne
361	Louis-Hémon / Rosemont
362	Plessis / Ontario
363	10e avenue / Masson
364	Parc Nicolas-Tillemont (des Érables / Villeray)
365	Mozart / Waverly
366	Berri / Cherrier
367	Métro Place Saint-Henri (St-Ferdinand / St-Jacques)
368	Desaulniers / Marquette
369	Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand)
370	Parc du Mail (Bois de Coulonges / du Mail)
371	de Lanaudière / Bélanger
372	Laurier / de Bordeaux
373	Fullum / Marie-Anne
374	Beurling / Godin
375	de Rouen / Hogan
376	Panet / Ste-Catherine
377	Métro Charlevoix (Charlevoix / Centre)
378	Turgeon / Notre-Dame
379	Bourget / St-Jacques
380	Parc St-Gabriel (Grand Trunk / Ropery)
381	de Bordeaux / St-Zotique
382	Clark / de Liège
383	Gauthier / Papineau
384	Parc Baldwin (Chapleau / Sherbrooke)
385	Bercy / Rachel
386	de Gaspé / Dante
387	Rousselot / Jarry
388	Métro Jarry (Lajeunesse / Jarry)
389	de Castelnau / Lajeunesse
390	Marquette / Rachel
391	de la Côte St-Paul / St-Ambroise
392	St-Urbain / de la Gauchetière
393	Basile-Routhier / Chabanel
394	St-Jacques / des Seigneurs
395	Ste-Catherine / Sanguinet
396	Parc Reine-Élizabeth (Penniston / Crawford)
397	1ère  avenue / St-Zotique
398	Parc Van Horne (de la Peltrie / de Westbury)
399	Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré)
400	Bloomfield / Bernard
401	St-Mathieu / Sherbrooke
402	Ste-Catherine / St-Denis
403	Drummond / des-Canadiens-de-Montréal
404	Waverly / St-Viateur
405	Boyer / Bélanger
406	Graham / Kindersley
407	St-Jacques / Richmond
408	University / Prince-Arthur
409	Beaudry / Sherbrooke
410	Logan / de Champlain
411	St-Jacques / Gauvin
412	Valois / Ste-Catherine
413	Lajeunesse / de Liège
414	Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
415	Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy)
416	Victoria / de Maisonneuve
417	Métro Préfontaine (Moreau / Hochelaga)
418	Melville / de Maisonneuve
419	Calixa-Lavallée / Sherbrooke
420	St-Alexandre / Viger
421	Maguire / Henri-Julien
422	du Mont-Royal / Augustin-Frigon
423	Centre ÉPIC (St-Zotique / 40e avenue)
424	Davaar / de la Côte-Ste-Catherine
425	Sanguinet / de Maisonneuve
426	Métro Plamondon (de Kent / Victoria)
427	de Bordeaux / Masson
428	Jacques-Casault / Christophe-Colomb
429	de Monkland / Girouard
430	de Laprairie / Centre
431	de l'Esplanade / du Mont-Royal
432	Laurier / de Brébeuf
433	Place du Commerce
434	Parc Laurier (Laurier / Dubuc)
435	Métro de Castelnau (de Castelnau / St-Laurent)
436	de l'Hôtel-de-Ville / Ste-Catherine
437	Maguire / St-Laurent
438	Cartier / Masson
439	Chabot / Mont-Royal
440	Notre-Dame-de-Grâce / Westmount
441	de Chateaubriand / Jarry
442	Parc du Pélican (2e avenue / St-Joseph)
443	de Bullion / St-Joseph
444	U. Concordia - Campus Loyola (Sherbrooke / West Broadway)
445	Georges-Vanier / Notre-Dame
446	Rielle / Wellington
447	Ann / Wellington
448	Ropery / Augustin-Cantin
449	Poupart / Logan
450	de l'Église / de Verdun
451	Hôpital Santa Cabrini (de Pontoise / d'Évreux)
452	Ste-Claire / Pierre-Tétreault
453	LaSalle / Godin
454	Gagne / LaSalle
455	Parc des Hirondelles (Fleury / André-Jobin)
456	de Bordeaux / Rachel
457	8e avenue / Dandurand
458	de l'Hôtel-de-Ville / Villeneuve
459	Parc Champdoré (Champdoré / de Lille)
460	St-Ambroise / Louis-Cyr
461	Centre des loisirs (Tassé / Grenet)
462	Place Rodolphe-Rousseau (Gohier / Édouard-Laurin)
463	Hutchison / Beaubien
464	Métro Cadillac (Cadillac / Sherbrooke)
465	de la Peltrie /de la Cote-des-Neiges
466	Laird / Glencoe
467	Parc MacDonald (Clanranald / Isabella)
468	de St-Firmin / Fleury
469	Durocher / Bernard
470	Montmorency / Legrand
471	Alfred Laliberté / de Poutrincourt
472	McKenna / Édouard-Montpetit
473	Poupart / Ontario
474	Gilford / de Brébeuf
475	Place du Village (St-Jean-Baptiste / Notre-Dame)
476	Bloomfield / Van Horne
477	Lionel-Groulx / George-Vanier
478	Fullum / Gilford
479	du Parc-La Fontaine / Roy
480	Parc Hébert (Colbert / Provencher)
481	Duvernay / Charlevoix
482	Grey / Sherbrooke
483	Drolet / Jarry
484	Rosemont / Viau
485	de Rouen / Lespérance
486	City Councillors / du President-Kennedy
487	Mansfield / Ste-Catherine
488	Henri-Julien / de Castelnau
489	Ste-Catherine / Dézéry
490	de la Gauchetière / Robert-Bourassa
491	41e avenue / Rosemont
492	d'Orléans / Hochelaga
493	des Ormeaux / Notre-Dame
494	Souligny / Desmarteau
495	Bélanger / St-Denis
496	Parc Lacharité (Latour / Forget)
497	Terminus Newman (Airlie / Lafleur)
498	Berlioz / de l'Île des Soeurs
499	Métro de l'Église (Ross / de l'Église)
500	Letourneux / Ste-Catherine
501	de la Cathédrale / René-Lévesque
502	Parc Summerlea (53e avenue / St-Joseph)
503	Victoria Hall
504	Gare Bois-de-Boulogne
505	des Érables / Bélanger
506	du Canal / McLaughlin
507	St-Antoine / 19e avenue
508	Parc Hilda-Ramacière (de Bullion / Prince-Arthur)
509	Beaconsfield / Sherbrooke
510	Newman / Senkus
511	de la Côte-Ste-Catherine / Decelles
512	Earnscliffe / Queen-Mary
513	Faillon / St-Denis
514	St-Dominique / Bernard
515	Métro Assomption (Chauveau / de l'Assomption)
516	Argyle / Bannantyne
517	Parc St-Paul (Le Caron / Marc-Sauvalle)
